id,category,question,answer,tags
1,PNG Basics,What is Piped Natural Gas (PNG)?,"PNG is mainly methane (CH4) with a small percentage of other higher hydrocarbons; methane burns almost completely, making it the cleanest fuel.","png,basics,composition,clean fuel"
2,PNG Basics,Is there any storage space required for gas inside the society or near the house?,No storage space is required; gas is transmitted via the pipeline laid by MNGL.,"png,infrastructure,storage,transmission"
3,Installation,What is the minimum penetration requirement for MNGL?,Minimum 50% of members need to subscribe for the PNG connection.,"installation,eligibility,penetration"
4,Charges,What are the installation charges for each member?,"Pay Rs. 6000; breakup: Rs. 5000 refundable security (connection), Rs. 500 refundable security (consumption), and Rs. 500 non-refundable application fee.","charges,installation,fees,security"
5,Infrastructure,Who owns and is responsible for laying the pipelines for PNG supply?,"MNGL lays, owns, and is responsible up to the consumerÃ¢â‚¬â„¢s kitchen; damages at customer premises are chargeable; society trenching/digging and resurfacing are MNGLÃ¢â‚¬â„¢s responsibility.","infrastructure,pipeline,ownership,responsibility"
6,Billing,What is the billing cycle?,Bi-monthly.,"billing,cycle,frequency"
7,Billing,How is the bill generated?,"Bills are based on actual usage; meter reader visits once in 2 months, or customers can report readings to customer care (1800-266-2696); in absence of actual reading, average/assessed bills are generated.","billing,meter,assessed,process"
8,Payments,What are the various bill payment modes?,Cheque drop box in society; ECS; Axis/ICICI bank; card payments at MNGL walk-in centres.,"payments,modes,banks,ecs,card"
9,Tariff,What is the cost of natural gas?,Rs. 34 per SCM.,"tariff,price,scm"
10,Tariff,Are there any non-usage charges?,Minimum 4 SCM charged if bi-monthly consumption is less than 4 SCM.,"tariff,minimum charge,consumption"
11,Installation,"If a resident doesnÃ¢â‚¬â„¢t opt now, how to avail later?",Later opt-in requires extra online charge currently Rs. 550 in addition to Rs. 6000.,"installation,later-joiner,online charge"
12,Appliances,Are different accessories required since supply is NG and not LPG?,Existing appliances can be adapted by changing nozzles only; MNGL provides at no extra cost.,"appliances,nozzles,adaptation"
13,Policy,Can the resident keep LPG as a backup?,LPG details must be declared; cylinders must be surrendered or kept in safe custody within two months of PNG connection as per MoPNG; non-compliance can lead to PNG disconnection.,"policy,lpg,compliance,surrender"
14,Support,What if thereÃ¢â‚¬â„¢s a breakdown due to road work?,Inform the 24x7 Emergency Team; regular patrolling is conducted to avoid accidents due to leakages.,"support,emergency,breakdown,patrol"
15,Supply,Is the supply of PNG regular?,Yes; online distribution uses safety valves and regulators to control pressure.,"supply,reliability,pressure"
16,Safety,Is PNG safe?,Flammability 5Ã¢â‚¬â€œ15% with air; NG is lighter than air and disperses with ventilation; auto-ignition temperature is 542Ã‚Â°C.,"safety,flammability,auto-ignition,ventilation"
